group	seed	epoch	precision	recall	ndcg
gowalla_best	gowalla_best_gowalla_seed2021	220	0.03243519	0.10129008	0.08145693
gowalla_best	gowalla_best_gowalla_seed2021	230	0.03261772	0.10196162	0.08167037
gowalla_best	gowalla_best_gowalla_seed2021	240	0.03267466	0.10212025	0.08183679
gowalla_best	gowalla_best_gowalla_seed2021	250	0.03249045	0.10168656	0.08143378
gowalla_best	gowalla_best_gowalla_seed2021	260	0.0324218	0.10169588	0.08138929
gowalla_best	gowalla_best_gowalla_seed2021	270	0.03253399	0.10240877	0.08174677
gowalla_best	gowalla_best_gowalla_seed2021	280	0.03276676	0.10301575	0.0821612
gowalla_best	gowalla_best_gowalla_seed2021	290	0.03271318	0.10256416	0.08224108
gowalla_best	gowalla_best_gowalla_seed2022	0	0.000211	0.00061298	0.0004281
gowalla_best	gowalla_best_gowalla_seed2022	10	0.03863789	0.12579075	0.10709017
gowalla_best	gowalla_best_gowalla_seed2022	20	0.03824101	0.12349145	0.10354341
gowalla_best	gowalla_best_gowalla_seed2022	30	0.03703195	0.1184992	0.09931665
gowalla_best	gowalla_best_gowalla_seed2022	40	0.0362315	0.11512816	0.09602535
gowalla_best	gowalla_best_gowalla_seed2022	50	0.03537578	0.11167471	0.09242431
gowalla_best	gowalla_best_gowalla_seed2022	60	0.03469254	0.10871951	0.08990223
gowalla_best	gowalla_best_gowalla_seed2022	70	0.03438107	0.10698818	0.0883154
gowalla_best	gowalla_best_gowalla_seed2022	80	0.03396242	0.10575618	0.08649497
gowalla_best	gowalla_best_gowalla_seed2022	90	0.03360238	0.10402471	0.08532852
gowalla_best	gowalla_best_gowalla_seed2022	100	0.0334567	0.10316365	0.08410752
gowalla_best	gowalla_best_gowalla_seed2022	110	0.03317201	0.10185083	0.08312516
gowalla_best	gowalla_best_gowalla_seed2022	120	0.03317871	0.10239307	0.08305038
gowalla_best	gowalla_best_gowalla_seed2022	130	0.03307991	0.10180513	0.08247953
gowalla_best	gowalla_best_gowalla_seed2022	140	0.03291245	0.1013739	0.08220643
gowalla_best	gowalla_best_gowalla_seed2022	150	0.03284379	0.10122238	0.08188501
gowalla_best	gowalla_best_gowalla_seed2022	160	0.03268303	0.10088519	0.08126421
gowalla_best	gowalla_best_gowalla_seed2022	170	0.03257418	0.10092325	0.08122155
gowalla_best	gowalla_best_gowalla_seed2022	180	0.03274499	0.10107063	0.08167515
gowalla_best	gowalla_best_gowalla_seed2022	190	0.0325993	0.10097596	0.08115623
gowalla_best	gowalla_best_gowalla_seed2022	200	0.03267633	0.101033	0.08163979
gowalla_best	gowalla_best_gowalla_seed2022	210	0.03288566	0.10218841	0.08234371
gowalla_best	gowalla_best_gowalla_seed2022	220	0.03267633	0.10139072	0.0818033
gowalla_best	gowalla_best_gowalla_seed2022	230	0.0327048	0.10168475	0.08226424
gowalla_best	gowalla_best_gowalla_seed2022	240	0.03281868	0.10229318	0.08208963
gowalla_best	gowalla_best_gowalla_seed2022	250	0.03299953	0.10296841	0.082437
gowalla_best	gowalla_best_gowalla_seed2022	260	0.03279356	0.10243689	0.08164557
gowalla_best	gowalla_best_gowalla_seed2022	270	0.03308159	0.10323013	0.08240034
gowalla_best	gowalla_best_gowalla_seed2022	280	0.03313852	0.10337209	0.08239791
gowalla_best	gowalla_best_gowalla_seed2022	290	0.03328756	0.10402537	0.08290168
